sampleid,population,sex,timepoint,bird,flock
41,migratory,male,D,BIRD10,migratorymale
50,resident,female,D,BIRD26,residentfemale
57,resident,male,D,BIRD20,residentmale
72,resident,male,D,BIRD16,residentmale
90,migratory,male,D,BIRD11,migratorymale
94,migratory,female,D,BIRD01,migratoryfemale
119,migratory,male,D,BIRD07,migratorymale
122,migratory,female,D,BIRD02,migratoryfemale
133,migratory,male,D,BIRD09,migratorymale
165,migratory,female,D,BIRD03,migratoryfemale
176,resident,male,D,BIRD15,residentmale
208,resident,female,D,BIRD21,residentfemale
210,resident,female,D,BIRD24,residentfemale
220,resident,male,D,BIRD19,residentmale
236,resident,female,D,BIRD25,residentfemale
252,resident,female,D,BIRD22,residentfemale
260,migratory,female,D,BIRD04,migratoryfemale
281,migratory,female,D,BIRD06,migratoryfemale
282,resident,male,D,BIRD18,residentmale
306,resident,male,D,BIRD17,residentmale
331,migratory,female,D,BIRD05,migratoryfemale
332,migratory,male,D,BIRD08,migratorymale
361,migratory,male,D,BIRD12,migratorymale
368,resident,female,D,BIRD23,residentfemale
